name,ra1,ra2,ra3,dec1,dec2,dec3,vmag
HIP 32349 ,6,45,9.2499,-16,42,47.315,-1.44
HIP 30438 ,6,23,57.0906,-52,41,44.585,-0.62
HIP 69673 ,14,15,40.3474,+19,11,14.172,-0.05
HIP 71683 ,14,39,40.8985,-60,50,6.529,-0.01
HIP 91262 ,18,36,56.186,+38,46,58.775,0.03
HIP 24608 ,5,16,41.2956,+45,59,56.505,0.08
HIP 24436 ,5,14,32.2712,-8,12,5.901,0.18
HIP 37279 ,7,39,18.5381,+05,13,39.028,0.4
HIP 7588  ,1,37,42.7517,-57,14,11.976,0.45
HIP 27989 ,5,55,10.2892,+07,24,25.331,0.45
HIP 68702 ,14,3,49.4446,-60,22,22.722,0.61
HIP 97649 ,19,50,46.6821,+08,52,2.586,0.76
HIP 60718 ,12,26,35.9414,-63,5,56.601,0.77
HIP 21421 ,4,35,55.2005,+16,30,35.142,0.87
HIP 65474 ,13,25,11.6046,-11,9,40.482,0.98
HIP 80763 ,16,29,24.4675,-26,25,55.006,1.06
HIP 37826 ,7,45,19.3638,+28,1,34.717,1.16
HIP 113368,22,57,38.8256,-29,37,18.613,1.17
HIP 62434 ,12,47,43.3189,-59,41,19.437,1.25
HIP 102098,20,41,25.9134,+45,16,49.203,1.25
HIP 71681 ,14,39,39.3908,-60,50,22.097,1.35
HIP 49669 ,10,8,22.4594,+11,58,1.902,1.36
HIP 33579 ,6,58,37.5467,-28,58,19.522,1.5
HIP 36850 ,7,34,36.0046,+31,53,19.091,1.58
HIP 61084 ,12,31,9.9293,-57,6,45.249,1.59
HIP 85927 ,17,33,36.5265,-37,6,13.494,1.62
HIP 25336 ,5,25,7.8682,+06,20,59.044,1.64
HIP 25428 ,5,26,17.4979,+28,36,28.344,1.65
HIP 45238 ,9,13,12.2408,-69,43,2.901,1.67
HIP 26311 ,5,36,12.8126,-1,12,6.902,1.69
HIP 109268,22,8,13.8764,-46,57,38.217,1.73
HIP 26727 ,5,40,45.5248,-1,56,33.282,1.74
HIP 39953 ,8,9,31.9553,-47,20,11.802,1.75
HIP 62956 ,12,54,1.633,+55,57,35.435,1.76
HIP 15863 ,3,24,19.3485,+49,51,40.474,1.79
HIP 90185 ,18,24,10.3463,-34,23,3.533,1.79
HIP 54061 ,11,3,43.8369,+61,45,4.028,1.81
HIP 34444 ,7,8,23.486,-26,23,35.548,1.83
HIP 67301 ,13,47,32.5461,+49,18,47.89,1.85
HIP 86228 ,17,37,19.1258,-42,59,52.158,1.86
HIP 41037 ,8,22,30.8647,-59,30,34.338,1.86
HIP 28360 ,5,59,31.7694,+44,56,50.766,1.9
HIP 82273 ,16,48,39.8658,-69,1,39.486,1.91
HIP 31681 ,6,37,42.7023,+16,23,57.893,1.93
HIP 42913 ,8,44,42.1973,-54,42,30.845,1.93
HIP 100751,20,25,38.8496,-56,44,5.571,1.94
HIP 11767 ,2,31,47.0753,+89,15,50.897,1.97
HIP 30324 ,6,22,41.9874,-17,57,21.3,1.98
HIP 46390 ,9,27,35.2518,-8,39,31.26,1.99
HIP 9884  ,2,7,10.2858,+23,27,45.999,2.01
HIP 50583 ,10,19,58.1617,+19,50,30.697,2.01
HIP 3419  ,0,43,35.2283,-17,59,12.063,2.04
HIP 92855 ,18,55,15.9167,-26,17,47.739,2.05
HIP 68933 ,14,6,41.3247,-36,22,7.305,2.06
HIP 27366 ,5,47,45.3879,-9,40,10.567,2.07
HIP 72607 ,14,50,42.3954,+74,9,19.713,2.07
HIP 5447  ,1,9,43.7976,+35,37,14.99,2.07
HIP 112122,22,42,39.9349,-46,53,4.437,2.07
HIP 677   ,0,8,23.168,+29,5,26.981,2.07
HIP 86032 ,17,34,56.0048,+12,33,38.073,2.08
HIP 14576 ,3,8,10.1297,+40,57,20.344,2.09
HIP 9640  ,2,3,53.9191,+42,19,47.454,2.1
HIP 57632 ,11,49,3.8783,+14,34,20.413,2.14
HIP 4427  ,0,56,42.5011,+60,43,0.299,2.15
HIP 61932 ,12,41,31.205,-48,57,35.588,2.2
HIP 45556 ,9,17,5.4284,-59,16,30.94,2.21
HIP 39429 ,8,3,35.0701,-40,0,11.478,2.21
HIP 76267 ,15,34,41.1895,+26,42,53.677,2.22
HIP 44816 ,9,7,59.7771,-43,25,57.447,2.23
HIP 65378 ,13,23,55.4198,+54,55,31.495,2.23
HIP 100453,20,22,13.7,+40,15,24.053,2.23
HIP 87833 ,17,56,36.3779,+51,29,20.224,2.24
HIP 3179  ,0,40,30.3872,+56,32,14.673,2.24
HIP 25930 ,5,32,0.3997,0,17,56.736,2.25
HIP 746   ,0,9,10.0897,+59,9,0.785,2.28
HIP 66657 ,13,39,53.2727,-53,27,58.906,2.29
HIP 82396 ,16,50,10.245,-34,17,33.395,2.29
HIP 78401 ,16,0,20.0117,-22,37,17.833,2.29
HIP 71860 ,14,41,55.7738,-47,23,17.309,2.3
HIP 71352 ,14,35,30.4516,-42,9,27.884,2.33
HIP 53910 ,11,1,50.3908,+56,22,56.441,2.34
HIP 72105 ,14,44,59.2509,+27,4,27.026,2.35
HIP 107315,21,44,11.1403,+09,52,30.028,2.38
HIP 86670 ,17,42,29.2798,-39,1,47.715,2.39
HIP 2081  ,0,26,16.8674,-42,18,18.439,2.4
HIP 58001 ,11,53,49.7413,+53,41,41.039,2.41
HIP 84012 ,17,10,22.6624,-15,43,30.531,2.43
HIP 113881,23,3,46.3334,+28,4,56.837,2.44
HIP 105199,21,18,34.5816,+62,35,7.639,2.45
HIP 35904 ,7,24,5.705,-29,18,11.231,2.45
HIP 45941 ,9,22,6.8292,-55,0,38.503,2.47
HIP 102488,20,46,12.4322,+33,58,10.032,2.48
HIP 113963,23,4,45.6168,+15,12,19.324,2.49
HIP 81377 ,16,37,9.53,-10,34,1.746,2.54
HIP 14135 ,3,2,16.7791,+04,5,23.731,2.54
HIP 68002 ,13,55,32.4349,-47,17,17.759,2.55
HIP 54872 ,11,14,6.4121,+20,31,26.522,2.56
HIP 78820 ,16,5,26.2349,-19,48,19.414,2.56
HIP 59196 ,12,8,21.5436,-50,43,20.676,2.58
HIP 25985 ,5,32,43.8139,-17,49,20.252,2.58
HIP 59803 ,12,15,48.4678,-17,32,31.141,2.58
HIP 93506 ,19,2,36.7234,-29,52,48.411,2.6
HIP 74785 ,15,17,0.4718,-9,22,58.321,2.61
HIP 77070 ,15,44,15.9958,+06,25,31.871,2.63
HIP 8903  ,1,54,38.3491,+20,48,29.878,2.64
HIP 26634 ,5,39,38.9399,-34,4,26.578,2.65
HIP 28380 ,5,59,43.2382,+37,12,45.951,2.65
HIP 61359 ,12,34,23.2341,-23,23,47.843,2.65
HIP 6686  ,1,25,48.603,+60,14,7.452,2.66
HIP 67927 ,13,54,41.1162,+18,23,54.915,2.68
HIP 73273 ,14,58,31.9541,-43,8,1.921,2.68
HIP 61585 ,12,37,11.0837,-69,8,7.921,2.69
HIP 52727 ,10,46,46.1221,-49,25,12.451,2.69
HIP 23015 ,4,56,59.6162,+33,9,58.087,2.69
HIP 85696 ,17,30,45.8388,-37,17,44.665,2.7
HIP 35264 ,7,17,8.5642,-37,5,50.953,2.71
